name,sn1_n,sn1_b_ucs,sn1_d_cholesky_uconv,sn1_d_cholesky_ucs,sn1_iterNorm_uconv,sn1_iterNorm_ucs,sn1_zca_uconv_G16,sn1_zca_uconv_G32,sn1_zca_ucs_G16,sn1_zca_ucs_G32,,,sn1_d_cholesky_wm_uconv,sn1_d_cholesky_wm_ucs,sn1_iterNorm_wm_uconv,sn1_iterNorm_wm_ucs,sn1_zca_wm_uconv_G16,sn1_zca_wm_uconv_G32,sn1_zca_wm_ucs_G16,sn1_zca_wm_ucs_G32,,,sn0_n,sn0_b_ucs,sn0_d_cholesky_uconv,sn0_d_cholesky_ucs,sn0_iterNorm_uconv,sn0_iterNorm_ucs,sn0_zca_uconv_G16,sn0_zca_uconv_G32,sn0_zca_ucs_G16,sn0_zca_ucs_G32
1e-3 A,57.79,55.71,43.42,30.4,33.56,30.14,,,,,,,,,,,,,,,,,79.94,114.6,75.98,103.4,129.8,172.8,114.6,80.44,114.4,117.3
"1e-4, A",39.6,37.14,29.8,34.71,33.71,35.45,,,,,,,,,,,,,,,,,67.56,72.62,78.64,129.4,67.78,71.94,69.72,66.86,80.27,75.21
"2e-4,A",32.84,32.84,37.17,31.2,29.9,31.53,,,,,,,,,,,,,,,,,88.84,69.31,62.15,117.8,78.22,67.57,68.23,50.32,85.66,94.51
1e-3 B,32.86,30.26,25.97,32.89,33.12,30.37,27.86,27.49,27.67,29.39,,,,,,,,,,,,,200.0,282.5,256.1,206.9,374.7,292.7,249.9,244.8,264.6,263.9
"1e-4, B",40.75,40.33,36.85,38.02,36.02,43.47,35.57,33.22,38.39,37.42,,,,,,,,,,,,,65.3,103.8,48.9,258.9,46.65,61.31,45.15,41.62,52.77,69.54
"2e-4,B",36.74,35.51,27.82,36.61,28.24,33.88,31.36,32.97,36.71,31.57,,,,,,,,,,,,,200.0,388.0,223.5,178.5,221.2,244.1,255.6,228.8,291.3,260.9
1e-3 C,32.8,31.43,26.54,35.0,28.48,29.02,27.38,26.73,29.48,29.61,,,,,,,,,,,,,501.2,138.5,70.72,188.1,115.9,122.6,70.5,60.78,93.44,92.08
"1e-4, C",37.19,36.62,43.59,42.87,34.97,35.04,33.82,32.34,36.94,36.26,,,,,,,,,,,,,183.3,101.3,60.29,109.1,65.12,55.01,53.27,47.88,70.62,59.75
"2e-4,C",32.31,33.23,27.11,37.8,29.14,31.51,30.54,31.42,29.65,31.66,,,,,,,,,,,,,167.2,158.3,82.2,269.9,146.8,78.73,102.5,68.15,264.7,88.42
1e-3 D,97.44,36.22,142.9,141.9,61.04,45.01,163.5,154.6,38.55,42.22,,,,,,,,,,,,,116.8,84.39,72.13,111.8,96.01,84.62,63.03,57.9,82.88,92.24
"1e-4, D",40.63,40.37,41.0,44.65,35.77,35.8,36.84,32.73,37.92,34.01,,,,,,,,,,,,,69.74,83.28,83.53,115.0,69.33,67.09,73.81,75.41,73.8,81.69
"2e-4,D",35.3,30.54,100.3,41.51,34.28,33.3,33.96,30.05,31.09,30.12,,,,,,,,,,,,,61.95,58.32,74.53,104.9,48.65,61.03,56.29,57.84,72.14,90.27
1e-3 E,42.9,48.32,112.1,51.25,49.0,49.21,39.51,41.98,39.09,39.97,,,,,,,,,,,,,370.3,357.4,93.48,258.6,279.4,292.3,201.1,96.19,200.0,319.9
"1e-4, E",55.74,54.13,48.42,58.63,51.68,49.39,51.79,44.76,47.25,47.69,,,,,,,,,,,,,73.52,159.3,51.96,133.1,112.4,111.9,109.5,81.76,83.14,90.21
"2e-4,E",42.81,54.15,45.96,53.66,50.03,43.37,42.85,41.61,42.97,43.35,,,,,,,,,,,,,275.2,235.5,82.4,206.1,127.5,137.1,274.6,68.54,134.1,119.4
