w,b,DBN,DBNSigma,DBNdelta,QR,QRSigma,QRdelta,lr
128,1024,94.36,94.65,0.29,95.47,95.65,0.18,0.1
128,2048,93.49,93.6,0.11,94.2,94.33,0.13,0.1
128,3072,93.01,93.07,0.06,93.92,93.96,0.04,0.1
128,4096,92.7,92.68,-0.02,93.55,93.58,0.03,0.1
128,full,86.01,86.04,0.03,87.93,87.91,-0.02,0.1
256,1024,92.57,93.07,0.5,94.91,95.28,0.37,0.1
256,2048,91.71,91.96,0.25,93.86,94.01,0.15,0.1
256,3072,91.25,91.33,0.08,93.12,93.2,0.08,0.1
256,4096,90.96,91.07,0.11,93.08,93.1,0.02,0.1
256,full,83.94,83.87,-0.07,87.12,87.14,0.02,0.1
384,1024,,,,94.21,94.88,0.67,0.1
384,2048,,,,92.83,93.19,0.36,0.1
384,3072,,,,92.5,92.51,0.01,0.1
384,4096,,,,91.64,91.74,0.1,0.1
384,full,82.65,82.64,,85.54,85.49,-0.05,0.1
512,1024,,,,93.26,94.74,1.48,0.1
512,2048,,,,92.77,93.27,0.5,0.1
512,3072,,,,92.05,92.23,0.18,0.1
512,4096,,,,91.19,91.41,0.22,0.1
512,full,81.29,81.91,,84.52,84.53,0.01,0.1
128,1024,94.43,94.68,0.25,95.58,95.83,0.25,0.5
128,2048,94.09,94.13,0.04,94.97,95.03,0.06,0.5
128,3072,93.81,93.87,0.06,94.39,94.44,0.05,0.5
128,4096,93.31,93.37,0.06,94.26,94.33,0.07,0.5
128,full,91.25,91.26,0.01,92.02,91.98,-0.04,0.5
256,1024,92.72,93.69,0.97,95.23,95.66,0.43,0.5
256,2048,92.5,92.73,0.23,94.62,94.82,0.2,0.5
256,3072,91.77,92.06,0.29,94.33,94.39,0.06,0.5
256,4096,91.32,91.46,0.14,93.43,93.56,0.13,0.5
256,full,88.78,88.79,0.01,90.4,90.39,-0.01,0.5
384,1024,90.93,93.09,2.16,94.92,95.66,0.74,0.5
384,2048,91.77,92.22,0.45,94.66,94.94,0.28,0.5
384,3072,90.63,90.95,0.32,93.72,93.91,0.19,0.5
384,4096,90.73,90.81,0.08,93.39,93.49,0.1,0.5
384,full,86.77,86.74,-0.03,89.23,89.23,0,0.5
512,1024,69.01,87.1,18.09,93.9,95.57,1.67,0.5
512,2048,89,90.14,1.14,94.4,94.69,0.29,0.5
512,3072,89.6,90.04,0.44,93.36,93.78,0.42,0.5
512,4096,89.03,89.39,0.36,92.7,92.83,0.13,0.5
512,full,86.59,86.59,0,88.52,88.53,0.01,0.5
128,1024,94.8,95.02,0.22,96.16,96.3,0.14,1
128,2048,93.91,93.97,0.06,95.22,95.25,0.03,1
128,3072,93.82,93.83,0.01,94.69,94.8,0.11,1
128,4096,93.59,93.64,0.05,94.5,94.54,0.04,1
128,full,91.64,91.64,0,92.89,92.9,0.01,1
256,1024,92.66,93.79,1.13,95.62,95.94,0.32,1
256,2048,92.63,92.92,0.29,94.85,94.94,0.09,1
256,3072,92.22,92.38,0.16,94.6,94.72,0.12,1
256,4096,92.42,92.37,-0.05,94,94.07,0.07,1
256,full,89.83,89.86,0.03,91.41,91.4,-0.01,1
384,1024,90.18,92.68,2.5,94.85,95.28,0.43,1
384,2048,91.24,91.86,0.62,94.49,94.72,0.23,1
384,3072,90.96,91.15,0.19,93.77,93.99,0.22,1
384,4096,90.62,90.84,0.22,93.01,93.23,0.22,1
384,full,89.14,89.1,-0.04,90.8,90.81,0.01,1
512,1024,87.05,91.51,4.46,92.85,95.34,2.49,1
512,2048,90.2,91.08,0.88,93.78,94.35,0.57,1
512,3072,89.96,90.47,0.51,93.81,93.99,0.18,1
512,4096,89.98,90.26,0.28,92.99,93.19,0.2,1
512,full,89.02,89.01,-0.01,90.7,90.69,-0.01,1
128,1024,94.26,94.61,0.35,95.76,95.93,0.17,2
128,2048,94.01,94.05,0.04,95.25,95.31,0.06,2
128,3072,93.59,93.64,0.05,94.81,94.85,0.04,2
128,4096,93.57,93.59,0.02,94.77,94.77,0,2
128,full,92.2,92.21,0.01,92.7,92.7,0,2
256,1024,91.67,93.5,1.83,94.96,95.32,0.36,2
256,2048,91.36,91.9,0.54,94.66,94.95,0.29,2
256,3072,91.3,91.52,0.22,93.23,93.42,0.19,2
256,4096,91.29,91.43,0.14,92.29,92.43,0.14,2
256,full,90.53,90.52,-0.01,91.29,91.29,0,2
384,1024,85.41,90.18,4.77,94.48,95.48,1,2
384,2048,88.78,89.56,0.78,93.83,94.27,0.44,2
384,3072,88.94,89.45,0.51,92.46,92.83,0.37,2
384,4096,88.93,89.25,0.32,91.99,92.14,0.15,2
384,full,89.46,89.47,0.01,89.74,89.73,-0.01,2
512,1024,84,90.52,6.52,92.12,95.01,2.89,2
512,2048,88.46,89.88,1.42,93.58,94.42,0.84,2
512,3072,89.13,89.77,0.64,92.58,93.03,0.45,2
512,4096,87.97,88.38,0.41,91.69,92,0.31,2
512,full,88.82,88.85,0.03,89.71,89.69,-0.02,2
